,titre,link,speech_type,prenom,nom,date,theme,fonct,unique_id
44,"Interview de M. Adrien Taquet, secrétaire d'État chargé de la protection de l'enfance, à Public Sénat le 13 février 2020, notamment sur l'affaire du congé parental pour deuil, la réforme des retraites et la mort de Vanille.",https://www.vie-publique.fr/discours/273483-adrien-taquet-13022020-conge-parental-pour-deuil-retraites,Interview,Adrien,Taquet,2020-02-13T12:00:00Z,SOCIÉTÉ,Secrétaire d'État chargé de la protection de l'enfance,273483
45,"Interview de Mme Élisabeth Borne, ministre de la transition écologique et solidaire, à France Info le 12 février 2020, sur la tenue du 4e conseil de défense écologique, le futur Office français de la biodiversité et le dérèglement climatique.",https://www.vie-publique.fr/discours/273446-elisabeth-borne-12022020-conseil-defense-ecologique-biodiversite-climat,Interview,Elisabeth,Borne,2020-02-12T12:00:00Z,SOCIÉTÉ,Ministre de la transition écologique et solidaire,273446
46,"Interview de Mme Amélie de Montchalin, secrétaire d'État aux affaires européennes, à LCI le 12 février 2020, sur la réforme des retraites, le rôle des députés et les questions européennes.",https://www.vie-publique.fr/discours/273396-amelie-de-montchalin-12022020-poltique-gouvernementale,Interview,Amélie,de Montchalin,2020-02-12T12:00:00Z,INSTITUTIONS,Secrétaire d'État aux affaires européennes Elisabeth Matichoux,273396
47,"Déclaration de Mme Frédérique Vidal, ministre de l'enseignement supérieur, de la recherche et de l'innovation, lors de la remise du prix du roman des étudiants France Culture Télérama à Emma Becker pour son ouvrage ""La maison"", Paris le 12 février 2020.",https://www.vie-publique.fr/discours/273491-frederique-vidal-12022020-roman-des-etudiants-france-culture-telerama,Déclaration,Frédérique,Vidal,2020-02-12T12:00:00Z,SOCIÉTÉ,"Ministre de l'enseignement supérieur, de la recherche et de l'innovation",273491
48,"Déclaration de M. Bruno Le Maire, ministre de l'économie et des finances, sur l'apprentissage, à Paris le 12 février 2020.",https://www.vie-publique.fr/discours/273525-bruno-le-maire-12022020-apprentissage,Déclaration,Bruno,Le Maire,2020-02-12T12:00:00Z,INSTITUTIONS,Ministre de l'économie et des finances,273525
49,"Interview de Mme Brune Poirson, secrétaire d'État auprès de la ministre de la Transition écologique et solidaire, à Radio Classique le 12 février 2020, sur les enjeux du 4e conseil de défense écologique et le nécessaire respect du jeu démocratique.",https://www.vie-publique.fr/discours/273448-brune-poirson-12022020-conseil-defense-ecologique-democratie,Interview,Brune,Poirson,2020-02-12T12:00:00Z,SOCIÉTÉ,Secrétaire d'État auprès de la ministre de la transition écologique et solidaire,273448
50,"Déclaration de M. Édouard Philippe, Premier ministre, sur la cause de la lutte contre le racisme et l'antisémitisme, à Paris le 12 février 2020.",https://www.vie-publique.fr/discours/273494-edouard-philippe-12022020-ilan-halimi-racisme-antisemitisme,Déclaration,Edouard,Philippe,2020-02-12T12:00:00Z,,Premier ministre,273494
51,"Déclaration de Mme Agnès Buzyn, ministre des solidarités et de la santé, sur les modalités d'accès au concours et les mesures pour renforcer l’attractivité du métier d’aide-soignant à Paris le 12 février 2020.",https://www.vie-publique.fr/discours/273455-agnes-buzyn-12022020-metier-daides-soignants,Déclaration,Agnès,Buzyn,2020-02-12T12:00:00Z,SOCIÉTÉ,Ministre des solidarités et de la santé,273455
52,"Déclaration de Mme Élisabeth Borne, ministre de la transition écologique et solidaire, sur l'annonce des mesures prises lors du 4e conseil de défense écologique, à Paris le 12 février 2020.",https://www.vie-publique.fr/discours/273445-elisabeth-borne-12022020-4-e-conseil-de-defense-ecologique,Déclaration,Elisabeth,Borne,2020-02-12T12:00:00Z,SOCIÉTÉ,Ministre de la transition écologique et solidaire,273445
53,"Déclaration à la presse de Mme Amélie de Montchalin, secrétaire d'État aux affaires européennes, sur le budget européen et le Brexit, à Strasbourg le 11 février 2020.",https://www.vie-publique.fr/discours/273395-amelie-de-montchalin-11022020-union-europeenne,Déclaration,Amélie,de Montchalin,2020-02-11T12:00:00Z,INTERNATIONAL,Secrétaire d'État aux affaires européennes,273395
